,track,week,ranking,artist,time,genre,month_entered,day_entered,month_peaked,day_peaked
7987,Everything You Want,26,1.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
2553,"Maria, Maria",9,1.0,Santana,258,Rock,2,12,4,8
2872,"Maria, Maria",10,1.0,Santana,258,Rock,2,12,4,8
3191,"Maria, Maria",11,1.0,Santana,258,Rock,2,12,4,8
3510,"Maria, Maria",12,1.0,Santana,258,Rock,2,12,4,8
3829,"Maria, Maria",13,1.0,Santana,258,Rock,2,12,4,8
4148,"Maria, Maria",14,1.0,Santana,258,Rock,2,12,4,8
4467,"Maria, Maria",15,1.0,Santana,258,Rock,2,12,4,8
4786,"Maria, Maria",16,1.0,Santana,258,Rock,2,12,4,8
5105,"Maria, Maria",17,1.0,Santana,258,Rock,2,12,4,8
5424,"Maria, Maria",18,1.0,Santana,258,Rock,2,12,4,8
4161,Try Again,14,1.0,Aaliyah,243,Rock'n'roll,3,18,6,17
3835,Be With You,13,1.0,"Iglesias, Enrique",216,Latin,4,1,6,24
4154,Be With You,14,1.0,"Iglesias, Enrique",216,Latin,4,1,6,24
4473,Be With You,15,1.0,"Iglesias, Enrique",216,Latin,4,1,6,24
3843,Bent,13,1.0,matchbox twenty,252,Rock,4,29,7,22
3838,It's Gonna Be Me,13,1.0,N'Sync,190,Rock'n'roll,5,6,7,29
4157,It's Gonna Be Me,14,1.0,N'Sync,190,Rock'n'roll,5,6,7,29
8307,With Arms Wide Open,27,1.0,Creed,232,Rock'n'roll,5,13,11,11
12450,Amazed,40,1.0,Lonestar,265,Country,6,5,3,4
12769,Amazed,41,1.0,Lonestar,265,Country,6,5,3,4
3195,Doesn't Really Matter,11,1.0,Janet,257,Rock,6,17,8,26
3514,Doesn't Really Matter,12,1.0,Janet,257,Rock,6,17,8,26
3833,Doesn't Really Matter,13,1.0,Janet,257,Rock,6,17,8,26
2241,Incomplete,8,1.0,Sisqo,232,Rock'n'roll,6,24,8,12
2560,Incomplete,9,1.0,Sisqo,232,Rock'n'roll,6,24,8,12
3194,Come On Over Baby (All I Want Is You),11,1.0,"Aguilera, Christina",218,Rock,8,5,10,14
3513,Come On Over Baby (All I Want Is You),12,1.0,"Aguilera, Christina",218,Rock,8,5,10,14
3832,Come On Over Baby (All I Want Is You),13,1.0,"Aguilera, Christina",218,Rock,8,5,10,14
4151,Come On Over Baby (All I Want Is You),14,1.0,"Aguilera, Christina",218,Rock,8,5,10,14
1598,Music,6,1.0,Madonna,225,Rock,8,12,9,16
1917,Music,7,1.0,Madonna,225,Rock,8,12,9,16
2236,Music,8,1.0,Madonna,225,Rock,8,12,9,16
2555,Music,9,1.0,Madonna,225,Rock,8,12,9,16
2552,Independent Women Part I,9,1.0,Destiny's Child,218,Rock,9,23,11,18
2871,Independent Women Part I,10,1.0,Destiny's Child,218,Rock,9,23,11,18
3190,Independent Women Part I,11,1.0,Destiny's Child,218,Rock,9,23,11,18
3509,Independent Women Part I,12,1.0,Destiny's Child,218,Rock,9,23,11,18
3828,Independent Women Part I,13,1.0,Destiny's Child,218,Rock,9,23,11,18
4147,Independent Women Part I,14,1.0,Destiny's Child,218,Rock,9,23,11,18
4466,Independent Women Part I,15,1.0,Destiny's Child,218,Rock,9,23,11,18
4785,Independent Women Part I,16,1.0,Destiny's Child,218,Rock,9,23,11,18
5104,Independent Women Part I,17,1.0,Destiny's Child,218,Rock,9,23,11,18
5423,Independent Women Part I,18,1.0,Destiny's Child,218,Rock,9,23,11,18
5742,Independent Women Part I,19,1.0,Destiny's Child,218,Rock,9,23,11,18
4468,I Knew I Loved You,15,1.0,Savage Garden,247,Rock,10,23,1,29
4787,I Knew I Loved You,16,1.0,Savage Garden,247,Rock,10,23,1,29
5106,I Knew I Loved You,17,1.0,Savage Garden,247,Rock,10,23,1,29
5744,I Knew I Loved You,19,1.0,Savage Garden,247,Rock,10,23,1,29
2244,What A Girl Wants,8,1.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
2563,What A Girl Wants,9,1.0,"Aguilera, Christina",198,Rock'n'roll,11,27,1,15
3206,Thank God I Found You,11,1.0,"Carey, Mariah",254,Rock,12,11,2,19
3834,Say My Name,13,1.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
4153,Say My Name,14,1.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
4472,Say My Name,15,1.0,Destiny's Child,271,Rock'n'roll,12,25,3,18
8306,Everything You Want,27,2.0,Vertical Horizon,241,Rock'n'roll,1,22,7,15
