,company,description,location,post_date,salary,title,temp,city,temp1,state
0,Memorial Sloan Kettering Cancer Center,"Working together with members in the group, the *Bioinformatics Data Scientist*. As part of their role the Bioinformatics data scientist will support end-to-end...","New York, NY 10065 (Upper East Side area)",9 days ago,,"Bioinformatics Data Scientist - Cancer Genomics, NYC","[u'New York', u' NY 10065 (Upper East Side area)']",New York,[u' NY 10065 (Upper East Side area)'],NY
1,Bevi,We are seeking a Data Scientist to charter Bevi's strategy in collecting data and developing applications....,"Boston, MA",1 day ago,,Data Scientist,"[u'Boston', u' MA']",Boston,[u' MA'],MA
2,bnchmrk,"Bnchmrk is seeking a talented Data Scientist to join our Product Team, located in northern New Jersey. This Data Scientist will need to have a background in...","Edgewater, NJ",13 days ago,,Data Scientist,"[u'Edgewater', u' NJ']",Edgewater,[u' NJ'],NJ
3,Google,"From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...","New York, NY 10011 (Chelsea area)",1 day ago,,"Research Scientist, Machine Learning and Intelligence","[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY
4,Merck,He/She will collaborate across disciplines to analyze diverse data sets to build structure-activity relationships....,"Kenilworth, NJ",2 days ago,,Senior Scientist Job,"[u'Kenilworth', u' NJ']",Kenilworth,[u' NJ'],NJ
5,Career Path Group,Insurance Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and...,"Manhattan, NY",20 days ago,,Data Scientist and Analytics Developer - Insurance,"[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY
6,Xpandit,"But, more than just a “Buzzword Guy”, we seek a curious Data Scientist in searching the Best Big Data Solutions....","Lisbon, ME",30 days ago,,Big Data Engineer,"[u'Lisbon', u' ME']",Lisbon,[u' ME'],ME
7,PulsePoint,"3+ Years as a Data Scientist, preferable in the Digital Advertising/Media Space. Experience in data product development....","New York, NY",14 days ago,,Sr. Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY
8,"Data Management Services, Inc.","Perform standard descriptive and inferential data analyses, regression analysis, hypothesis testing, univariate statistical methods, data-mining and exploratory...","Frederick, MD 21701",6 days ago,,R Statistician/Data Scientist,"[u'Frederick', u' MD 21701']",Frederick,[u' MD 21701'],MD
9,NBCUniversal,"Help business analysts, application engineers, data scientists, etc., leverage the appropriate tools, solutions, and/or processes as part of their data mining,...","New York, NY",8 days ago,,"Data Engineer, Analytics Technology","[u'New York', u' NY']",New York,[u' NY'],NY
