,company,description,location,post_date,salary,title,temp,city,temp1,state,yearly_salary,monthly_salary,range_low,range_high,salary_avg
0,Markit Financial Info Service,"Daily activities include data processing monitoring, generating client reports, researching client inquiries and educating clients....","New York, NY",2,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
1,NATIONAL GRID CO USA (NE POWER),"Collaborate with Data Scientists and Quantitative Analysts. Image and remote sensing data, natural language data....","Brooklyn, NY",1,None,Data Engineer,"[u'Brooklyn', u' NY']",Brooklyn,[u' NY'],NY,,,,,
2,ResourceHunt Group,"Senior Research Scientist*. Write technical reports and project presentations, Work closely with analytical group and Regulatory Affairs to meet time lines, Co...","Yaphank, NY",3,"<nobr>$125,000 a year</nobr>",Senior Research Scientist,"[u'Yaphank', u' NY']",Yaphank,[u' NY'],NY,"<nobr>$125,000 a year</nobr>",,125000.0,,125000.0
3,Markit,"Daily activities include data processing monitoring, generating client reports, researching client inquiries and educating clients....","New York, NY",3,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
4,PlaceIQ,"Experience with Hadoop/Big Data paradigms. From building data pipelines to regression models/classification algorithms, complex data visualizations to...","New York, NY",25,None,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
5,eTemp,"High growth company focused on using data science to transform the way individuals are hired, is looking for an inventive, collaborative, methodologically...","New York, NY",11,None,Mid - Senior Level Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
6,JOOR,"Our team is comprised of Data Specialists, Data Analysts, and Data Scientists. About the Data Services Team:....","New York, NY 10001 (Chelsea area)",8,None,Director of Data Services - NEW YORK,"[u'New York', u' NY 10001 (Chelsea area)']",New York,[u' NY 10001 (Chelsea area)'],NY,,,,,
7,Barclays,"Use knowledge of stochastic calculus, probability theory, and bond mathematics to collect and analyze data used to formulate and apply mathematical modeling and...","New York, NY",19,None,VP - Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
8,Paperless Post,"Decision science and data analytics. You’ll lead a team of six data scientists, developing a roadmap of initiatives that improve our decision-making, business...","New York, NY",8,None,Director of Data Science and Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
9,AppNexus,"At AppNexus, our data is our life line - we can only be as good as our data, and great data is critical for business success....","New York, NY 10010 (Gramercy area)",30,None,"Senior Software Engineer, Data Science","[u'New York', u' NY 10010 (Gramercy area)']",New York,[u' NY 10010 (Gramercy area)'],NY,,,,,
10,Capital Group,"Based in New York or Los Angeles, as a Senior Data Scientist, you should be experienced with and passionate about using data to drive business strategy,...","New York, NY 10111 (Midtown area)",1,None,Senior Data Scientist,"[u'New York', u' NY 10111 (Midtown area)']",New York,[u' NY 10111 (Midtown area)'],NY,,,,,
11,Celmatix,We seek a Senior Data Scientist with deep expertise working with large clinical datasets to join our growing statistical / machine learning team....,"New York, NY 10005 (Financial District area)",11,None,Senior Data Scientist,"[u'New York', u' NY 10005 (Financial District area)']",New York,[u' NY 10005 (Financial District area)'],NY,,,,,
12,The Nielsen Company,Exceptional aptitude for data analysis. Leverage both qualitative and quantitative data when pursuing analytic insight....,"New York, NY 10003 (Greenwich Village area)",1,None,Research Analyst,"[u'New York', u' NY 10003 (Greenwich Village area)']",New York,[u' NY 10003 (Greenwich Village area)'],NY,,,,,
13,JPMorgan Chase,"Senior Data Scientist (VP) - Wholesale Solutions.  Data frame software such as Pandas. The JPMIS Senior Data Scientist is responsible for developing, testing...","New York, NY",30,None,Senior Data Scientist (VP) - Wholesale Solutions,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
14,EY,FIDS - Forensic Technology & Discovery Services - Data Scientist Manager. The role of the Forensic Technology & Discovery Services (“FTDS”) Data Scientist...,"New York, NY",25,None,FIDS - Forensic Technology & Discovery Services - Data Scien...,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
15,Google,"Expertise in data structures, algorithms and complexity analysis. Many aspiring Computer Scientists could benefit from a program that bridges the gap between...","New York, NY 10011 (Chelsea area)",5,None,"Engineering Resident, University Graduate (Fixed Term Employ...","[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY,,,,,
16,Oliver James Associates,We are currently looking for an brilliant data scientist to utilize massive datasets in a leading insurance firm....,"New York, NY",15,"<nobr>$170,000 - $200,000 a year</nobr>",Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$170,000 - $200,000 a year</nobr>",,170000.0,200000.0,185000.0
17,New York University College of Dentistry,"JUNIOR RESEARCH SCIENTIST*. Uses computers for word processing, data acquisition and statistical analysis....","New York, NY 10010 (Gramercy area)",17,None,JUNIOR RESEARCH SCIENTIST McDevitt Research Laboratory,"[u'New York', u' NY 10010 (Gramercy area)']",New York,[u' NY 10010 (Gramercy area)'],NY,,,,,
18,Everyday Health,"BI Data Analyst. Data pipeline, from sourcing to warehouse to final data product. Proprietary data mining technology leverages hundreds of terabytes of data to....","New York, NY",30,None,BI Data Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
19,Google,"From creating experiments and prototyping implementations to designing new architectures, Research Scientists and Software Engineers work on challenges in...","New York, NY 10011 (Chelsea area)",5,None,"Research Scientist, Machine Learning and Intelligence","[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY,,,,,
20,"Princeton IT Services, Inc",Manage custom projects to augment digital tracking metrics and syndicated data. Proficiency with digital syndicated reporting databases and software including...,"New York, NY",3,None,Research Analyst - Highly Skilled,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
21,Yahoo! Inc.,Our scientists specialize in designing and building scalable and reliable distributed and parallel systems that serve all the aspects of big data like data...,"New York, NY",10,None,Research Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
22,NYU Langone Medical Center,The individual is responsibile for data collection Will be solely responsible for exporting images and raw image data for further processing....,"New York, NY 10016 (Gramercy area)",4,None,Data Analyst,"[u'New York', u' NY 10016 (Gramercy area)']",New York,[u' NY 10016 (Gramercy area)'],NY,,,,,
23,S&P Global Ratings,"Exposure to one or more data discovery, data visualization tools. Developing predictive algorithms based on historical data....","New York, NY 10002 (Lower East Side area)",30,None,Director - Innovation Lab Data Scientist,"[u'New York', u' NY 10002 (Lower East Side area)']",New York,[u' NY 10002 (Lower East Side area)'],NY,,,,,
24,JPMorgan Chase,"Data Scientist - New York, NY. This includes a balance of marketing/campaign optimization, data wrangling and data science....","New York, NY",19,None,"Digital Marketing – Sr. Data Scientist - New York, NY","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
25,NYU Langone Medical Center,"Assists with study site recruitment, data collection, participant tracking, intervention delivery, protocol compliance, and accurate data entry....","New York, NY 10016 (Gramercy area)",4,None,Research Data Associate,"[u'New York', u' NY 10016 (Gramercy area)']",New York,[u' NY 10016 (Gramercy area)'],NY,,,,,
26,Clarifai,Experience handling internet-scale data sets and the unique problems they pose. Since then Clarifai’s deep learning systems have improved orders of magnitude in...,"New York, NY 10010 (Gramercy area)",30,None,"Research Scientist, Deep Learning / Computer Vision","[u'New York', u' NY 10010 (Gramercy area)']",New York,[u' NY 10010 (Gramercy area)'],NY,,,,,
27,WebMD,Provide data analysis and facilitate comprehension of data to the Business Intelligence user community. This position will work closely with other departments...,"New York, NY",19,None,"Team Lead, Data Analysis","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
28,NBCUniversal,"Serve as a senior data scientist for audience studio data products. You will be part of the Audience Studio Data Technology team, participating in the data...","New York, NY",22,None,"Principal, Data Science","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
29,MLB Advanced Media,"Undergraduate (Bachelors) degree with (3) years of experience in data research, predictive modeling, statistical analysis, data transformation and / or other...","New York, NY 10011 (Chelsea area)",22,None,Senior Statistical Analyst,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY,,,,,
30,Columbia University,"The successful candidate will work with senior departmental management to maintain data integrity, data standardization, and data accuracy....","New York, NY",1,None,Research Applications Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
31,Columbia University,"It is expected that the applicant will present his/her laboratory data at regular data meetings, review papers for journal club, present in local seminars, send...","New York, NY 10032 (Washington Heights area)",30,None,Associate Research Scientist,"[u'New York', u' NY 10032 (Washington Heights area)']",New York,[u' NY 10032 (Washington Heights area)'],NY,,,,,
32,Estimize Inc.,We are looking for an individual to add to this team who will tirelessly produce incredible content using the Estimize data set in support of user acquisition...,"New York, NY",1,None,Research Analyst at Disruptive Fintech Startup,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
33,Smith & Keller,Our client is looking for a talented Data Scientist to join our rapidly growing team in our New York City headquarters....,"Manhattan, NY",14,None,Python Developer / Data Scientist,"[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY,,,,,
34,CAPCO,Capco is looking for Senior Data Scientists. And rewarding role as a Senior Data Scientist. A team of data scientists and work with business sponsors and...,"New York, NY 10271 (Financial District area)",1,None,Senior Data Scientist,"[u'New York', u' NY 10271 (Financial District area)']",New York,[u' NY 10271 (Financial District area)'],NY,,,,,
35,S&P Global Ratings,Research and resolve data maintenance requests related to Corporate & Government and Structured Finance ratings data....,"New York, NY 10002 (Lower East Side area)",15,None,Statistician,"[u'New York', u' NY 10002 (Lower East Side area)']",New York,[u' NY 10002 (Lower East Side area)'],NY,,,,,
36,Aetna,"Aetna’s Consumer Health Services Clinical Analytics team is seeking a Lead Data Scientist in either our New York, NY;...","New York, NY 10001 (Chelsea area)",23,None,Lead Data Scientist,"[u'New York', u' NY 10001 (Chelsea area)']",New York,[u' NY 10001 (Chelsea area)'],NY,,,,,
37,Diverse Lynx LLC,"Job Title - Data Scientist with Spark. Executes on Big Data requests to improve the accuracy, quality, completeness, speed of data, and decisions made from Big...","New York, NY",25,None,Data Scientist with Spark -Full Time Job,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
38,Selby Jennings,"Data Scientist Global Private Asset Management Firm Manhattan, New York, USA Circa $100,000 - $200,000 plus Bonus and Benefits Key Skills: Python, R,","New York, NY 10167 (Midtown area)",15,"<nobr>$100,000 - $200,000 a year</nobr>",Data Scientist,"[u'New York', u' NY 10167 (Midtown area)']",New York,[u' NY 10167 (Midtown area)'],NY,"<nobr>$100,000 - $200,000 a year</nobr>",,100000.0,200000.0,150000.0
39,DataKind,"A Creative Data Scientist. And, you will easily translate between our partners and volunteer data scientists because you are well versed in both social sector...","New York, NY",16,None,Data Science Manager,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
40,Mount Sinai Health System,"Build data systems to help team's data scientists carry out their work. Identifies, develops, and documents data standardization, data enrichment operations,...","New York, NY 10019 (Midtown area)",6,None,SENIOR DATA ANALYST,"[u'New York', u' NY 10019 (Midtown area)']",New York,[u' NY 10019 (Midtown area)'],NY,,,,,
41,Grubhub,Collaborate with data scientists to design and develop processes to further business unit and company-wide data science initiatives on a common data platform....,"New York, NY",30,None,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
42,Datacom Technology Group,They will report directly to the company founders and manage other Data Scientists. Political Analytics firm looking for a full time data scientist to work out...,"New York, NY 10018 (Clinton area)",30,"<nobr>$200,000 a year</nobr>",Data Scientist,"[u'New York', u' NY 10018 (Clinton area)']",New York,[u' NY 10018 (Clinton area)'],NY,"<nobr>$200,000 a year</nobr>",,200000.0,,200000.0
43,High 5 Games,Managing a team of data scientists. The Senior Data Scientist will be responsible for:. As a Senior Data Scientist you will be collaborating across the...,"New York, NY 10007 (Financial District area)",30,None,Senior Data Scientist,"[u'New York', u' NY 10007 (Financial District area)']",New York,[u' NY 10007 (Financial District area)'],NY,,,,,
44,KPMG,"Work with data scientist to identify data needs, sources, and structure to support client issues problem solving....","New York, NY 10154 (Midtown area)",23,None,Big Data Analytics Business Consultant,"[u'New York', u' NY 10154 (Midtown area)']",New York,[u' NY 10154 (Midtown area)'],NY,,,,,
45,10x Management,"10x Management represents elite full stack engineers, data scientists, product managers, cyber security professionals, UX/UI designers, and others, matching...","New York, NY",1,None,Growth Hacker,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
46,Smith Hanley Associates,This consulting agency (primary clients are in the Pharma/Health Science space) is responsible for illustrative data modeling/statistical analyses....,"New York, NY",3,"<nobr>$90,000 a year</nobr>",Statistician/Data Analyst-PHARM,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$90,000 a year</nobr>",,90000.0,,90000.0
47,Empiric Solutions,This exciting technology start-up data marketplace is the largest 3rd-party cross-device data set in the world with over 5B unique users and devices.This hands...,"New York, NY",6,"<nobr>$130,000 a year</nobr>",Data Scientist - Advertising Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$130,000 a year</nobr>",,130000.0,,130000.0
48,Amazon Corporate LLC,"5+ years in relevant experience as data scientist, software engineer, business intelligence engineer, or equivalent....","New York, NY",30,None,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
49,Spotify,"You have experience with a range of data science techniques including clustering, machine learning, and network analysis....","New York, NY 10011 (Chelsea area)",30,None,Research Lead / Data Scientist,"[u'New York', u' NY 10011 (Chelsea area)']",New York,[u' NY 10011 (Chelsea area)'],NY,,,,,
50,NATIONAL GRID CO USA (NE POWER),"Collaborate with Data Scientists and Quantitative Analysts. Deep web, image and remote sensing data, natural language data....","Brooklyn, NY",23,None,Data Engineer (Associate/Senior/Lead),"[u'Brooklyn', u' NY']",Brooklyn,[u' NY'],NY,,,,,
51,Averity,Are you a Senior Data Scientist excited about the thought of starting a Data Science group in the arts and entertainment world?...,"New York, NY",16,"<nobr>$150,000 a year</nobr>",Senior Data Scientist ($150k),"[u'New York', u' NY']",New York,[u' NY'],NY,"<nobr>$150,000 a year</nobr>",,150000.0,,150000.0
52,Added Value,"Do data checks such as checking questionnaire programs for logic, accuracy and completeness, edit/proof data tables, review/approve codes....","New York, NY 10003 (Greenwich Village area)",30,None,"Project Analyst, Quantitative Insights","[u'New York', u' NY 10003 (Greenwich Village area)']",New York,[u' NY 10003 (Greenwich Village area)'],NY,,,,,
53,Connections of New York,"Data Scientist This is an opportunity for a Data Scientist and Engineer to join a highly-regarded Big Data team in New York, currently building an enterprise...","New York, NY",1,None,Data Science,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
54,DEPT OF YOUTH & COMM DEV SRVS,Ability to identify and resolve data integrity issues. Manage data collection and conduct quantitative and qualitative analysis....,"Manhattan, NY",3,"<nobr>$68,239 - $85,644 a year</nobr>",Capacity Building Analyst,"[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY,"<nobr>$68,239 - $85,644 a year</nobr>",,68239.0,85644.0,76941.5
55,GE Renewable Energy,"Extensive hands on experience working with very large data sets, including statistical analyses, data visualization, data mining, and data cleansing /...","Schenectady, NY",30,None,Senior Data Scientist – Renewable Energy,"[u'Schenectady', u' NY']",Schenectady,[u' NY'],NY,,,,,
56,Voya Financial,Proactively uncover and resolve data and calculation issues. Maintain and expand the internal data warehouse from which the analytics are generated....,"New York, NY",15,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
57,TTi Global,The Research Scientist will also become familiar with analytical resources in other business units within Company and in academia....,"Tarrytown, NY",9,<nobr>$25 an hour</nobr>,Research Scientist,"[u'Tarrytown', u' NY']",Tarrytown,[u' NY'],NY,,,,,
58,RBC,". What is the opportunity? A role as a Quantitative Analyst in the Fixed Income and Currencies Team with a focus on researching, developing and implementing","New York, NY",6,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
59,SecurityScorecard,"Looking for a versatile, and experienced data scientist to join the Marketing team at a fast growing, and well funded cybersecurity startup located in the heart...","New York, NY",22,None,Data Science - Marketing,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
60,"Stemline Therapeutics, Inc.","Develop, organize, and maintain system of data storage for company. Provide scientific and data mining support for nonclinical research or laboratory-based...","New York, NY 10022 (Midtown area)",9,None,"Research Associate, R&D","[u'New York', u' NY 10022 (Midtown area)']",New York,[u' NY 10022 (Midtown area)'],NY,,,,,
61,Xaxis,"Xaxis combines proprietary technology, unique data assets and exclusive media relationships with the brightest team of audience analysts, data scientists and...","New York, NY",11,None,"Analyst, Automated Trading","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
62,Mount Sinai Health System,"Data collection and processing. Coding research data for clinical oncology trials, including. For performing data collection, enrolling patients on clinical...","Jamaica, NY",2,None,Research Analyst,"[u'Jamaica', u' NY']",Jamaica,[u' NY'],NY,,,,,
63,Next Step Systems,Experience working with large data sets. Seeking world-class Researchers and Engineers who are obsessive about data analysis and the pursuit of its greatest...,"New York, NY",5,None,Quantitative Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
64,Weight Watchers International,Work closely with our data scientists to help build complex algorithms that provide unique insights into our data....,"New York, NY",30,None,Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
65,IBM,IBM Research is seeking a highly motivated and talented research scientist as Blockchain innovations leader....,"Yorktown Heights, NY",5,None,Research Scientist,"[u'Yorktown Heights', u' NY']",Yorktown Heights,[u' NY'],NY,,,,,
66,Intersection,"This person will hire, manage, train and retain a team of data scientists. The data analytics manager will be responsible for aggregating, reporting and...","New York, NY",22,None,Data Analytics Manager,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
67,Excellus BlueCross BlueShield,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...","Buffalo, NY",9,None,Data Scientist I/II/III,"[u'Buffalo', u' NY']",Buffalo,[u' NY'],NY,,,,,
68,Univera Healthcare,"Ultimately, Data Scientists work closely with various stakeholders across the Corporation to turn data into meaningful insights that is then used to make sound...","Buffalo, NY",8,None,Data Scientist I/II/III,"[u'Buffalo', u' NY']",Buffalo,[u' NY'],NY,,,,,
69,JPMorgan Chase,"Data Scientist - Manager of Experimentation. Proprietary data platforms. They are hands-on, without needing an army of engineers or other data scientists to...","New York, NY",21,None,Data Scientist - Manager of Experimentation,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
70,Lux Research,"Analyst - Data Analytics and Artificial Intelligence (Boston, New York, Amsterdam, or Singapore). Relevant expertise in machine learning, statistics, data...","New York, NY",15,None,Research Analyst - Data Analytics and Artificial Intelligenc...,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
71,Komodo Health,Work with the data scientists to implement forecasting and prediction algorithms and models in the data infrastructure....,"New York, NY",1,None,Sr Data Engineer,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
72,Integral Ad Science,We are seeking a Senior Data Scientist to join our team in New York City. Drive the collection of new data and the refinement of existing data sources....,"New York, NY 10003 (Greenwich Village area)",28,None,Senior Data Scientist,"[u'New York', u' NY 10003 (Greenwich Village area)']",New York,[u' NY 10003 (Greenwich Village area)'],NY,,,,,
73,Enigma,We value data scientists who can quickly implement elegant solutions to complex problems. As a Senior Data Scientist with the Analytics group your contributions...,"New York, NY",30,None,Senior Data Scientist,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
74,Career Path Group,Insurance Company is looking for a talented and motivated data scientist and analytics developer to help provide business insight from our data assets and...,"Manhattan, NY",23,None,Data Scientist and Analytics Developer - Insurance,"[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY,,,,,
75,NBCUniversal,"Strong analytical skills, able to analyze qualitative and quantitative data with client needs in mind. Analyze and interpret ratings data across the NBC Owned...","New York, NY",10,None,Research Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
76,JPMorgan Chase,Professional experience as a data scientist or a related software engineering role. The Data Scientists in this role will be leading small teams that develop...,"Brooklyn, NY",30,None,Data Science and Analytics – Vice President - New York,"[u'Brooklyn', u' NY']",Brooklyn,[u' NY'],NY,,,,,
77,Investopedia,"Powered by a team of data scientists and financial experts, Investopedia offers timely, trusted and actionable financial information for early investors to high...","New York, NY",8,None,"Director, Audience Engagement and Analytics – Content & Edit...","[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
78,Cold Spring Harbor Laboratory,"The postdoctoral scientist is expected to exhibit resourcefulness and independence, developing new statistical models of high-dimensional data and implementing...","Cold Spring Harbor, NY 11724",22,None,Post Doc Computational,"[u'Cold Spring Harbor', u' NY 11724']",Cold Spring Harbor,[u' NY 11724'],NY,,,,,
79,Third Bridge,First job out of college not what you thought it would be? Boring? No real responsibility? Just a cog in a wheel? If you are ready to leave dull and join,"New York, NY",3,None,Research Analyst - Immediate Openings,"[u'New York', u' NY']",New York,[u' NY'],NY,,,,,
80,Northwell Health,"As an Applications Analyst, you will participate in the design, development and implementation of healthcare applications. In this role, you will serve as an","Manhasset, NY",17,None,"Applications Analyst (R Programming, Data Analysis & SQL ski...","[u'Manhasset', u' NY']",Manhasset,[u' NY'],NY,,,,,
