,company,description,post_date,title,city,state,range_low,range_high,salary_avg
0,Intel,Test and data build artifact distribution; Intel is seeking highly qualified candidates to join our Data Center Group (DCG) as a Devops and Automation System...,2,Devops and Automation System Engineer,Hillsboro,OR,,,
1,"GENEWIZ, Inc.",Hands on Next-generation sequencing and data analysis preferred. GENEWIZ is seeking a Scientist I to join our Research & Development team....,3,"Scientist I, Research and Development",,NJ,,,
2,Kaplan,Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...,26,Senior Data Scientist,Chicago,IL,,,
3,xometry,Xometry is seeking a senior data scientist to build the proprietary software that powers our analysis engine....,3,Senior Data Scientist,Bethesda,MD,,,
4,Google,"As a Data Scientist, you should be experienced with and passionate about using data to drive strategy and product recommendations....",5,"Data Scientist / Quantitative Analyst, YouTube",Mountain View,CA,,,
5,American Family Insurance,"R433 Statistical Research Scientist (Open). Explores data using a variety of advanced statistical (e.g., data mining) techniques to answer business questions or...",12,Statistical Research Scientist,Madison,WI,,,
6,"GeoControl Systems, Inc.","Data collection, reduction and analysis. Experience collecting data on test subjects. III....",11,Research Scientist,Houston,TX,,,
7,"Miracle Software Systems, Inc.",233064-Data Scientists Modeling*. Demonstrated skills in manipulation and data mining / pattern recognition of large structured and unstructured data sets....,2,Data Scientists Modeling,Dearborn,MI,,,
8,Reed Elsevier,Text and data mining. Bring active experience in to the organization on extraction text and data information from structured and unstructured data....,9,Junior Data Scientist,Philadelphia,PA,,,
9,Verizon,"Data Analytics – Junior Data Scientist. As Wikipedia states ”Data Scientist have the ability to find and interpret rich data sources, manage large amounts of...",3,Junior Data Scientist - Data Analytics,Ashburn,VA,,,
10,About.com,"As a Senior Data Scientist, you will be responsible for using unique datasets to drive insights and innovation across the company....",3,Senior Data Scientist,New York,NY,,,
11,Clearwater Analytics,The Quantitative Financial Analyst is a member of the Quality Assurance team and is responsible for helping to design and test various financial models that,2,Quantitative Financial Analyst,Boise,ID,,,
12,General Dynamics - Information Technology,"Ensures the integrity of project data, including data extraction, storage, manipulation, processing and analysis....",1,"Associate Analyst, Data",Philadelphia,PA,,,
13,Verizon,"Work with Verizon's data scientists to design and implement best in class data architecture, analytics environment and methodologies for analyzing large sets of...",1,Data Analytics Consultant,Basking Ridge,NJ,,,
14,General Dynamics Information Technology,"Ensures the integrity of project data, including data extraction, storage, manipulation, processing and analysis....",1,"Associate Analyst, Data",Philadelphia,PA,,,
15,ResourceHunt Group,"Senior Research Scientist*. Write technical reports and project presentations, Work closely with analytical group and Regulatory Affairs to meet time lines, Co...",3,Senior Research Scientist,Yaphank,NY,125000.0,,125000.0
16,IBM,"Data and technology are. Must be able to demonstrate a proven track record of designing and producing meaningful, effective data visualizations using relational...",25,Visualization and Data Analysis Engineer,Springfield,MA,,,
17,DBRS,"Lead Data Scientist, US RMBS. The Lead Data Scientist role is a unique and exciting opportunity to take on global ownership of the mortgage modeling process....",24,"Lead Data Scientist, US RMBS",New York,NY,,,
18,NATIONAL GRID CO USA (NE POWER),"Collaborate with Data Scientists and Quantitative Analysts. Image and remote sensing data, natural language data....",1,Data Engineer,Brooklyn,NY,,,
