	critics	date	rating	rating1	rating_count	subtext	tconst	time	title	user
0	198 critic	"14 October 1994 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
9.3/10 "	1,680,108	"
R
| 
                        2h 22min
                    
|
Crime, 
Drama
|
14 October 1994 (USA)

 "	tt0111161	"
                        2h 22min
                    "	The Shawshank Redemption (1994) 	4,120 user
1	207 critic	"24 March 1972 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
9.2/10 "	1,149,477	"
R
| 
                        2h 55min
                    
|
Crime, 
Drama
|
24 March 1972 (USA)

 "	tt0068646	"
                        2h 55min
                    "	The Godfather (1972) 	2,224 user
2	149 critic	"20 December 1974 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
9.0/10 "	786,138	"
R
| 
                        3h 22min
                    
|
Crime, 
Drama
|
20 December 1974 (USA)

 "	tt0071562	"
                        3h 22min
                    "	The Godfather: Part II (1974) 	652 user
3	644 critic	"18 July 2008 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
9.0/10 "	1,665,122	"
PG-13
| 
                        2h 32min
                    
|
Action, 
Adventure, 
Crime
|
18 July 2008 (USA)

 "	tt0468569	"
                        2h 32min
                    "	The Dark Knight (2008) 	4,647 user
4	174 critic	"4 February 1994 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.9/10 "	859,870	"
R
| 
                        3h 15min
                    
|
Biography, 
Drama, 
History
|
4 February 1994 (USA)

 "	tt0108052	"
                        3h 15min
                    "	Schindler's List (1993) 	1,266 user
5	177 critic	"April 1957 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.9/10 "	444,530	"
Not Rated
| 
                        1h 36min
                    
|
Crime, 
Drama
|
April 1957 (USA)

 "	tt0050083	"
                        1h 36min
                    "	12 Angry Men (1957) 	883 user
6	220 critic	"14 October 1994 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.9/10 "	1,316,851	"
R
| 
                        2h 34min
                    
|
Crime, 
Drama
|
14 October 1994 (USA)

 "	tt0110912	"
                        2h 34min
                    "	Pulp Fiction (1994) 	2,191 user
7	328 critic	"17 December 2003 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.9/10 "	1,208,863	"
PG-13
| 
                        3h 21min
                    
|
Action, 
Adventure, 
Drama
|
17 December 2003 (USA)

 "	tt0167260	"
                        3h 21min
                    "	The Lord of the Rings: The Return of the King (2003) 	3,185 user
8	180 critic	"29 December 1967 (USA)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.9/10 "	500,627	"
Not Rated
| 
                        2h 41min
                    
|
Western
|
29 December 1967 (USA)

 "	tt0060196	"
                        2h 41min
                    "	The Good, the Bad and the Ugly (1966) 	776 user
9	315 critic	"15 October 1999 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.8/10 "	1,339,005	"
R
| 
                        2h 19min
                    
|
Drama
|
15 October 1999 (USA)

 "	tt0137523	"
                        2h 19min
                    "	Fight Club (1999) 	2,962 user
10	297 critic	"19 December 2001 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.8/10 "	1,232,088	"
PG-13
| 
                        2h 58min
                    
|
Action, 
Adventure, 
Drama
|
19 December 2001 (USA)

 "	tt0120737	"
                        2h 58min
                    "	The Lord of the Rings: The Fellowship of the Ring (2001) 	5,057 user
11	223 critic	"20 June 1980 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.8/10 "	832,413	"
PG
| 
                        2h 4min
                    
|
Action, 
Adventure, 
Fantasy
|
20 June 1980 (USA)

 "	tt0080684	"
                        2h 4min
                    "	Star Wars: Episode V - The Empire Strikes Back (1980) 	896 user
12	147 critic	"6 July 1994 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.8/10 "	1,242,600	"
PG-13
| 
                        2h 22min
                    
|
Drama, 
Romance
|
6 July 1994 (USA)

 "	tt0109830	"
                        2h 22min
                    "	Forrest Gump (1994) 	1,389 user
13	636 critic	"16 July 2010 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.8/10 "	1,458,624	"
PG-13
| 
                        2h 28min
                    
|
Action, 
Adventure, 
Sci-Fi
|
16 July 2010 (USA)

 "	tt1375666	"
                        2h 28min
                    "	Inception (2010) 	2,799 user
14	294 critic	"18 December 2002 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.7/10 "	1,094,144	"
PG-13
| 
                        2h 59min
                    
|
Action, 
Adventure, 
Drama
|
18 December 2002 (USA)

 "	tt0167261	"
                        2h 59min
                    "	The Lord of the Rings: The Two Towers (2002) 	2,416 user
15	149 critic	"21 November 1975 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.7/10 "	676,263	"
R
| 
                        2h 13min
                    
|
Drama
|
21 November 1975 (USA)

 "	tt0073486	"
                        2h 13min
                    "	One Flew Over the Cuckoo's Nest (1975) 	758 user
16	192 critic	"21 September 1990 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.7/10 "	724,328	"
R
| 
                        2h 26min
                    
|
Biography, 
Crime, 
Drama
|
21 September 1990 (USA)

 "	tt0099685	"
                        2h 26min
                    "	Goodfellas (1990) 	985 user
17	310 critic	"31 March 1999 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.7/10 "	1,210,758	"
R
| 
                        2h 16min
                    
|
Action, 
Sci-Fi
|
31 March 1999 (USA)

 "	tt0133093	"
                        2h 16min
                    "	The Matrix (1999) 	3,643 user
18	153 critic	"19 November 1956 (USA)

"	"[<meta content=""UNRATED"" itemprop=""contentRating""/>]"	"
8.7/10 "	227,854	"
Unrated
| 
                        3h 27min
                    
|
Action, 
Adventure, 
Drama
|
19 November 1956 (USA)

 "	tt0047478	"
                        3h 27min
                    "	Seven Samurai (1954) 	596 user
19	282 critic	"25 May 1977 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.7/10 "	905,756	"
PG
| 
                        2h 1min
                    
|
Action, 
Adventure, 
Fantasy
|
25 May 1977 (USA)

 "	tt0076759	"
                        2h 1min
                    "	Star Wars: Episode IV - A New Hope (1977) 	1,467 user
20	214 critic	"13 February 2004 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.7/10 "	530,413	"
R
| 
                        2h 10min
                    
|
Crime, 
Drama
|
13 February 2004 (USA)

 "	tt0317248	"
                        2h 10min
                    "	City of God (2002) 	746 user
21	215 critic	"22 September 1995 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	1,017,151	"
R
| 
                        2h 7min
                    
|
Crime, 
Drama, 
Mystery
|
22 September 1995 (USA)

 "	tt0114369	"
                        2h 7min
                    "	Se7en (1995) 	1,083 user
22	185 critic	"14 February 1991 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	881,724	"
R
| 
                        1h 58min
                    
|
Crime, 
Drama, 
Horror
|
14 February 1991 (USA)

 "	tt0102926	"
                        1h 58min
                    "	The Silence of the Lambs (1991) 	915 user
23	206 critic	"7 January 1947 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.6/10 "	274,170	"
PG
| 
                        2h 10min
                    
|
Drama, 
Family, 
Fantasy
|
7 January 1947 (USA)

 "	tt0038650	"
                        2h 10min
                    "	It's a Wonderful Life (1946) 	704 user
24	162 critic	"15 September 1995 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	736,641	"
R
| 
                        1h 46min
                    
|
Crime, 
Drama, 
Mystery
|
15 September 1995 (USA)

 "	tt0114814	"
                        1h 46min
                    "	The Usual Suspects (1995) 	1,179 user
25	154 critic	"12 February 1999 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.6/10 "	417,122	"
PG-13
| 
                        1h 56min
                    
|
Comedy, 
Drama, 
Romance
|
12 February 1999 (USA)

 "	tt0118799	"
                        1h 56min
                    "	Life Is Beautiful (1997) 	1,050 user
26	155 critic	"18 November 1994 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	721,184	"
R
| 
                        1h 50min
                    
|
Crime, 
Drama, 
Thriller
|
18 November 1994 (USA)

 "	tt0110413	"
                        1h 50min
                    "	Léon: The Professional (1994) 	838 user
27	164 critic	"4 July 1969 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.6/10 "	214,773	"
PG-13
| 
                        2h 55min
                    
|
Western
|
4 July 1969 (USA)

 "	tt0064116	"
                        2h 55min
                    "	Once Upon a Time in the West (1968) 	564 user
28	245 critic	"28 March 2003 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.6/10 "	414,816	"
PG
| 
                        2h 5min
                    
|
Animation, 
Adventure, 
Family
|
28 March 2003 (USA)

 "	tt0245429	"
                        2h 5min
                    "	Spirited Away (2001) 	901 user
29	219 critic	"24 July 1998 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	875,632	"
R
| 
                        2h 49min
                    
|
Action, 
Drama, 
War
|
24 July 1998 (USA)

 "	tt0120815	"
                        2h 49min
                    "	Saving Private Ryan (1998) 	2,277 user
30	162 critic	"20 November 1998 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	778,270	"
R
| 
                        1h 59min
                    
|
Crime, 
Drama
|
20 November 1998 (USA)

 "	tt0120586	"
                        1h 59min
                    "	American History X (1998) 	1,418 user
31	712 critic	"7 November 2014 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.6/10 "	918,672	"
PG-13
| 
                        2h 49min
                    
|
Adventure, 
Drama, 
Sci-Fi
|
7 November 2014 (USA)

 "	tt0816692	"
                        2h 49min
                    "	Interstellar (2014) 	2,719 user
32	242 critic	"23 January 1943 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.6/10 "	385,641	"
PG
| 
                        1h 42min
                    
|
Drama, 
Romance, 
War
|
23 January 1943 (USA)

 "	tt0034583	"
                        1h 42min
                    "	Casablanca (1942) 	1,121 user
33	290 critic	"8 September 1960 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	419,797	"
R
| 
                        1h 49min
                    
|
Horror, 
Mystery, 
Thriller
|
8 September 1960 (USA)

 "	tt0054215	"
                        1h 49min
                    "	Psycho (1960) 	1,036 user
34	138 critic	"7 March 1931 (USA)

"	"[<meta content=""PASSED"" itemprop=""contentRating""/>]"	"
8.6/10 "	107,469	"
Passed
| 
                        1h 27min
                    
|
Comedy, 
Drama, 
Romance
|
7 March 1931 (USA)

 "	tt0021749	"
                        1h 27min
                    "	City Lights (1931) 	218 user
35	234 critic	"12 June 1981 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.5/10 "	657,457	"
PG
| 
                        1h 55min
                    
|
Action, 
Adventure
|
12 June 1981 (USA)

 "	tt0082971	"
                        1h 55min
                    "	Raiders of the Lost Ark (1981) 	770 user
36	309 critic	"2 November 2011 (France)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.6/10 "	499,203	"
R
| 
                        1h 52min
                    
|
Biography, 
Comedy, 
Drama
|
2 November 2011 (France)

 "	tt1675434	"
                        1h 52min
                    "	The Intouchables (2011) 	367 user
37	120 critic	"25 February 1936 (USA)

"	"[<meta content=""G"" itemprop=""contentRating""/>]"	"
8.6/10 "	142,029	"
G
| 
                        1h 27min
                    
|
Comedy, 
Drama
|
25 February 1936 (USA)

 "	tt0027977	"
                        1h 27min
                    "	Modern Times (1936) 	212 user
38	185 critic	"10 December 1999 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	777,277	"
R
| 
                        3h 9min
                    
|
Crime, 
Drama, 
Fantasy
|
10 December 1999 (USA)

 "	tt0120689	"
                        3h 9min
                    "	The Green Mile (1999) 	1,376 user
39	178 critic	"1 August 1954 (UK)

"	"[<meta content=""APPROVED"" itemprop=""contentRating""/>]"	"
8.5/10 "	314,223	"
Approved
| 
                        1h 52min
                    
|
Mystery, 
Thriller
|
1 August 1954 (UK)

 "	tt0047396	"
                        1h 52min
                    "	Rear Window (1954) 	633 user
40	209 critic	"3 July 1991 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	740,826	"
R
| 
                        2h 17min
                    
|
Action, 
Adventure, 
Sci-Fi
|
3 July 1991 (USA)

 "	tt0103064	"
                        2h 17min
                    "	Terminator 2: Judgment Day (1991) 	981 user
41	352 critic	"6 October 2006 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	868,221	"
R
| 
                        2h 31min
                    
|
Crime, 
Drama, 
Thriller
|
6 October 2006 (USA)

 "	tt0407887	"
                        2h 31min
                    "	The Departed (2006) 	2,056 user
42	193 critic	"28 March 2003 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	494,761	"
R
| 
                        2h 30min
                    
|
Biography, 
Drama, 
War
|
28 March 2003 (USA)

 "	tt0253474	"
                        2h 30min
                    "	The Pianist (2002) 	760 user
43	197 critic	"3 July 1985 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.5/10 "	727,322	"
PG
| 
                        1h 56min
                    
|
Adventure, 
Comedy, 
Sci-Fi
|
3 July 1985 (USA)

 "	tt0088763	"
                        1h 56min
                    "	Back to the Future (1985) 	802 user
44	535 critic	"15 October 2014 (Philippines)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	393,416	"
R
| 
                        1h 47min
                    
|
Drama, 
Music
|
15 October 2014 (Philippines)

 "	tt2582802	"
                        1h 47min
                    "	Whiplash (2014) 	727 user
45	265 critic	"5 May 2000 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	976,982	"
R
| 
                        2h 35min
                    
|
Action, 
Drama
|
5 May 2000 (USA)

 "	tt0172495	"
                        2h 35min
                    "	Gladiator (2000) 	2,367 user
46	274 critic	"25 May 2001 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	840,968	"
R
| 
                        1h 53min
                    
|
Mystery, 
Thriller
|
25 May 2001 (USA)

 "	tt0209144	"
                        1h 53min
                    "	Memento (2000) 	2,065 user
47	261 critic	"15 August 1979 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	448,466	"
R
| 
                        2h 33min
                    
|
Drama, 
War
|
15 August 1979 (USA)

 "	tt0078788	"
                        2h 33min
                    "	Apocalypse Now (1979) 	980 user
48	340 critic	"20 October 2006 (USA)

"	"[<meta content=""PG-13"" itemprop=""contentRating""/>]"	"
8.5/10 "	838,405	"
PG-13
| 
                        2h 10min
                    
|
Drama, 
Mystery, 
Sci-Fi
|
20 October 2006 (USA)

 "	tt0482571	"
                        2h 10min
                    "	The Prestige (2006) 	1,099 user
49	185 critic	"24 June 1994 (USA)

"	"[<meta content=""G"" itemprop=""contentRating""/>]"	"
8.5/10 "	639,741	"
G
| 
                        1h 29min
                    
|
Animation, 
Adventure, 
Drama
|
24 June 1994 (USA)

 "	tt0110357	"
                        1h 29min
                    "	The Lion King (1994) 	652 user
50	190 critic	"29 January 1964 (USA)

"	"[<meta content=""PG"" itemprop=""contentRating""/>]"	"
8.5/10 "	340,722	"
PG
| 
                        1h 35min
                    
|
Comedy
|
29 January 1964 (USA)

 "	tt0057012	"
                        1h 35min
                    "	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964) 	837 user
51	189 critic	"29 September 1950 (Australia)

"	"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]"	"
8.5/10 "	138,772	"
Not Rated
| 
                        1h 50min
                    
|
Drama, 
Film-Noir, 
Romance
|
29 September 1950 (Australia)

 "	tt0043014	"
                        1h 50min
                    "	Sunset Blvd. (1950) 	453 user
52	390 critic	"22 June 1979 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	560,350	"
R
| 
                        1h 57min
                    
|
Horror, 
Sci-Fi
|
22 June 1979 (USA)

 "	tt0078748	"
                        1h 57min
                    "	Alien (1979) 	1,106 user
53	115 critic	"7 March 1941 (USA)

"	"[<meta content=""APPROVED"" itemprop=""contentRating""/>]"	"
8.5/10 "	136,628	"
Approved
| 
                        2h 5min
                    
|
Comedy, 
Drama, 
War
|
7 March 1941 (USA)

 "	tt0032553	"
                        2h 5min
                    "	The Great Dictator (1940) 	197 user
54	215 critic	"30 March 2007 (USA)

"	"[<meta content=""R"" itemprop=""contentRating""/>]"	"
8.5/10 "	257,917	"
R
| 
                        2h 17min
                    
|
Drama, 
Thriller
|
30 March 2007 (USA)

 "	tt0405094	"
                        2h 17min
                    "	The Lives of Others (2006) 	407 user
