,description,director,star1,star2,star3,tconst,writer
0,"
                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
            ",Frank Darabont,"
Tim Robbins,             ","
Morgan Freeman,             ","
Bob Gunton ",tt0111161,"
Stephen King (short story ""Rita Hayworth and Shawshank Redemption""),             "
1,"
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            ",Francis Ford Coppola,"
Marlon Brando,             ","
Al Pacino,             ","
James Caan ",tt0068646,"
Mario Puzo (screenplay),             "
2,"
                    The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.
            ",Francis Ford Coppola,"
Al Pacino,             ","
Robert De Niro,             ","
Robert Duvall ",tt0071562,"
Francis Ford Coppola (screenplay),             "
3,"
                    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.
            ",Christopher Nolan,"
Christian Bale,             ","
Heath Ledger,             ","
Aaron Eckhart ",tt0468569,"
Jonathan Nolan (screenplay),             "
4,"
                    In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
            ",Steven Spielberg,"
Liam Neeson,             ","
Ralph Fiennes,             ","
Ben Kingsley ",tt0108052,"
Thomas Keneally (book),             "
5,"
                    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
            ",Sidney Lumet,"
Henry Fonda,             ","
Lee J. Cobb,             ","
Martin Balsam ",tt0050083,"
Reginald Rose (story),             "
6,"
                    The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
            ",Quentin Tarantino,"
John Travolta,             ","
Uma Thurman,             ","
Samuel L. Jackson ",tt0110912,"
Quentin Tarantino (story),             "
7,"
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            ",Peter Jackson,"
Elijah Wood,             ","
Viggo Mortensen,             ","
Ian McKellen ",tt0167260,"
J.R.R. Tolkien (novel),             "
8,"
                    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
            ",Sergio Leone,"
Clint Eastwood,             ","
Eli Wallach,             ","
Lee Van Cleef ",tt0060196,"
Luciano Vincenzoni (story),             "
9,"
                    An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more...
            ",David Fincher,"
Brad Pitt,             ","
Edward Norton,             ","
Meat Loaf ",tt0137523,"
Chuck Palahniuk (novel),             "
10,"
                    A meek Hobbit and eight companions set out on a journey to destroy the One Ring and the Dark Lord Sauron.
            ",Peter Jackson,"
Elijah Wood,             ","
Ian McKellen,             ","
Orlando Bloom ",tt0120737,"
J.R.R. Tolkien (novel),             "
11,"
                    After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.
            ",Irvin Kershner,"
Mark Hamill,             ","
Harrison Ford,             ","
Carrie Fisher ",tt0080684,"
Leigh Brackett (screenplay),             "
12,"
                    Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.
            ",Robert Zemeckis,"
Tom Hanks,             ","
Robin Wright,             ","
Gary Sinise ",tt0109830,"
Winston Groom (novel),             "
13,"
                    A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.
            ",Christopher Nolan,"
Leonardo DiCaprio,             ","
Joseph Gordon-Levitt,             ","
Ellen Page ",tt1375666,"
Christopher Nolan "
14,"
                    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
            ",Peter Jackson,"
Elijah Wood,             ","
Ian McKellen,             ","
Viggo Mortensen ",tt0167261,"
J.R.R. Tolkien (novel),             "
15,"
                    A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
            ",Milos Forman,"
Jack Nicholson,             ","
Louise Fletcher,             ","
Michael Berryman ",tt0073486,"
Lawrence Hauben (screenplay),             "
16,"
                    Henry Hill and his friends work their way up through the mob hierarchy.
            ",Martin Scorsese,"
Robert De Niro,             ","
Ray Liotta,             ","
Joe Pesci ",tt0099685,"
Nicholas Pileggi (book),             "
17,"
                    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
            ",Lana Wachowski,"
Keanu Reeves,             ","
Laurence Fishburne,             ","
Carrie-Anne Moss ",tt0133093,"
Lilly Wachowski (as The Wachowski Brothers),             "
18,"
                    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
            ",Akira Kurosawa,"
Toshirô Mifune,             ","
Takashi Shimura,             ","
Keiko Tsushima ",tt0047478,"
Akira Kurosawa (screenplay),             "
19,"
                    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.
            ",George Lucas,"
Mark Hamill,             ","
Harrison Ford,             ","
Carrie Fisher ",tt0076759,"
George Lucas "
20,"
                    Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.
            ",Fernando Meirelles,"
Alexandre Rodrigues,             ","
Matheus Nachtergaele,             ","
Leandro Firmino ",tt0317248,"
Paulo Lins (novel),             "
21,"
                    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.
            ",David Fincher,"
Morgan Freeman,             ","
Brad Pitt,             ","
Kevin Spacey ",tt0114369,"
Andrew Kevin Walker "
22,"
                    A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
            ",Jonathan Demme,"
Jodie Foster,             ","
Anthony Hopkins,             ","
Lawrence A. Bonney ",tt0102926,"
Thomas Harris (novel),             "
23,"
                    An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.
            ",Frank Capra,"
James Stewart,             ","
Donna Reed,             ","
Lionel Barrymore ",tt0038650,"
Frances Goodrich (screenplay),             "
24,"
                    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.
            ",Bryan Singer,"
Kevin Spacey,             ","
Gabriel Byrne,             ","
Chazz Palminteri ",tt0114814,"
Christopher McQuarrie "
