,budget,buf,country,date,gross,language,loction,production,runtime,tconst
0,"Budget:        $25,000,000        

      (estimated)","Production Co:

Castle Rock Entertainment 
See more »","Country:
USA","Release Date: 14 October 1994 (USA)
    
See more »","Gross:        $28,341,469        

      (USA)","Language:
English","Filming Locations:
St. Croix, U.S. Virgin Islands

See more »","Production Co:

Castle Rock Entertainment 
See more »","Runtime:
142 min",tt0111161
1,"Budget:        $6,000,000        

      (estimated)","Gross:        $134,821,952        

      (USA)
(2 May 1997)","Country:
USA","Release Date: 24 March 1972 (USA)
    
See more »","Opening Weekend:         $223,758        

      (USA)
      (4 April 1997)","Language:
English
|
Italian
|
Latin","Filming Locations:
NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street, New York City, New York, USA

See more »","Gross:        $134,821,952        

      (USA)
(2 May 1997)","Show detailed
company contact information
  on 
  IMDbPro »",tt0068646
2,"Budget:        $13,000,000        

      (estimated)","Production Co:

Paramount Pictures,        
The Coppola Company 
See more »","Country:
USA","Release Date: 20 December 1974 (USA)
    
See more »","Gross:        $57,300,000        

      (USA)","Language:
English
|
Italian
|
Spanish
|
Latin
|
Sicilian","Filming Locations:
2045 N. Hibiscus Drive, North Miami, Florida, USA

See more »","Production Co:

Paramount Pictures,        
The Coppola Company 
See more »","Runtime:
202 min
|
220 min
            (The Godfather Trilogy 1901-1980 VHS Special Edition)",tt0071562
3,"Budget:        $185,000,000        

      (estimated)","Gross:        $533,316,061        

      (USA)
(27 February 2009)","Country:
USA
|
UK","Release Date: 18 July 2008 (USA)
    
See more »","Opening Weekend:         $158,411,483        

      (USA)
      (18 July 2008)","Language:
English
|
Mandarin","Filming Locations:
Times Square, Causeway Bay, Hong Kong

See more »","Gross:        $533,316,061        

      (USA)
(27 February 2009)","Show detailed
company contact information
  on 
  IMDbPro »",tt0468569
4,"Budget:        $22,000,000        

      (estimated)","Gross:        $96,067,179        

      (USA)","Country:
USA","Release Date: 4 February 1994 (USA)
    
See more »","Opening Weekend:         £1,234,591        

      (UK)
      (4 March 1994)","Language:
English
|
Hebrew
|
German
|
Polish","Filming Locations:
Józefa, Kraków, Malopolskie, Poland

See more »","Gross:        $96,067,179        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0108052
5,"Budget:        $350,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Country:
USA","Release Date: April 1957 (USA)
    
See more »","Production Co:

Orion-Nova Productions 
See more »","Language:
English","Filming Locations:
New York County Courthouse - 60 Centre Street, New York City, New York, USA

See more »","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono",tt0050083
6,"Budget:        $8,000,000        

      (estimated)","Gross:        $107,930,000        

      (USA)","Country:
USA","Release Date: 14 October 1994 (USA)
    
See more »","Opening Weekend:         £4,243,233        

      (UK)
      (11 November 1994)","Language:
English
|
Spanish
|
French","Filming Locations:
1435 Flower Street, Glendale, California, USA

See more »","Gross:        $107,930,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »",tt0110912
7,"Budget:        $94,000,000        

      (estimated)","Gross:        $377,019,252        

      (USA)
(28 May 2004)","Country:
USA
|
New Zealand","Release Date: 17 December 2003 (USA)
    
See more »","Opening Weekend:         £15,021,761        

      (UK)
      (19 December 2003)","Language:
English
|
Quenya
|
Old English
|
Sindarin","Filming Locations:
Dry Creek Quarry, Wellington, New Zealand

See more »","Gross:        $377,019,252        

      (USA)
(28 May 2004)","Show detailed
company contact information
  on 
  IMDbPro »",tt0167260
8,"Gross:        $6,100,000        

      (USA)","Show detailed
company contact information
  on 
  IMDbPro »","Language:
Italian","Also Known As: The Good, the Bad and the Ugly
      
See more »","Production Co:

Produzioni Europee Associati (PEA),        
Arturo González Producciones Cinematográficas, S.A,        
Constantin Film Produktion 
See more »","Release Date: 29 December 1967 (USA)
    
See more »","Budget:        $1,200,000        

      (estimated)","Show detailed
company contact information
  on 
  IMDbPro »","Sound Mix:
Mono",tt0060196
9,"Budget:        $63,000,000        

      (estimated)","Gross:        $37,023,395        

      (USA)
(25 February 2000)","Country:
USA
|
Germany","Release Date: 15 October 1999 (USA)
    
See more »","Opening Weekend:         $11,035,485        

      (USA)
      (15 October 1999)","Language:
English","Filming Locations:
421 W. Eighth Street, Los Angeles, California, USA

See more »","Gross:        $37,023,395        

      (USA)
(25 February 2000)","Show detailed
company contact information
  on 
  IMDbPro »",tt0137523
