,critics,date,genre1,genre2,rating,tconst,time,user,description,director,star1,star2,star3,writer1,writer2
0,198 critic,"14 October 1994 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0111161,"
                        2h 22min
                    ","4,119 user",,,,,,,
1,,,,,,,,,"
                    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.
            ",Frank Darabont,"
Tim Robbins,             ","
Morgan Freeman,             ","
Bob Gunton ","
Stephen King (short story ""Rita Hayworth and Shawshank Redemption""),             ","
Frank Darabont (screenplay)            "
2,207 critic,"24 March 1972 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0068646,"
                        2h 55min
                    ","2,224 user",,,,,,,
3,,,,,,,,,"
                    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
            ",Francis Ford Coppola,"
Marlon Brando,             ","
Al Pacino,             ","
James Caan ","
Mario Puzo (screenplay),             ","
Francis Ford Coppola (screenplay)            "
4,149 critic,"20 December 1974 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0071562,"
                        3h 22min
                    ",652 user,,,,,,,
5,,,,,,,,,"
                    The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.
            ",Francis Ford Coppola,"
Al Pacino,             ","
Robert De Niro,             ","
Robert Duvall ","
Francis Ford Coppola (screenplay),             ","
Mario Puzo (screenplay)            "
6,644 critic,"18 July 2008 (USA)

",Action,Adventure,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0468569,"
                        2h 32min
                    ","4,644 user",,,,,,,
7,,,,,,,,,"
                    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.
            ",Christopher Nolan,"
Christian Bale,             ","
Heath Ledger,             ","
Aaron Eckhart ","
Jonathan Nolan (screenplay),             ","
Christopher Nolan (screenplay)            "
8,174 critic,"4 February 1994 (USA)

",Biography,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0108052,"
                        3h 15min
                    ","1,266 user",,,,,,,
9,,,,,,,,,"
                    In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
            ",Steven Spielberg,"
Liam Neeson,             ","
Ralph Fiennes,             ","
Ben Kingsley ","
Thomas Keneally (book),             ","
Steven Zaillian (screenplay)            "
10,177 critic,"April 1957 (USA)

",Crime,Drama,"[<meta content=""NOT RATED"" itemprop=""contentRating""/>]",tt0050083,"
                        1h 36min
                    ",883 user,,,,,,,
11,,,,,,,,,"
                    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
            ",Sidney Lumet,"
Henry Fonda,             ","
Lee J. Cobb,             ","
Martin Balsam ","
Reginald Rose (story),             ","
Reginald Rose (screenplay)            "
12,220 critic,"14 October 1994 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0110912,"
                        2h 34min
                    ","2,190 user",,,,,,,
13,,,,,,,,,"
                    The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.
            ",Quentin Tarantino,"
John Travolta,             ","
Uma Thurman,             ","
Samuel L. Jackson ","
Quentin Tarantino (story),             ","
Roger Avary (story)            "
14,328 critic,"17 December 2003 (USA)

",Action,Adventure,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0167260,"
                        3h 21min
                    ","3,185 user",,,,,,,
15,,,,,,,,,"
                    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
            ",Peter Jackson,"
Elijah Wood,             ","
Viggo Mortensen,             ","
Ian McKellen ","
J.R.R. Tolkien (novel),             ","
Fran Walsh (screenplay)            "
16,,,,,,,,,"
                    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
            ",Sergio Leone,"
Clint Eastwood,             ","
Eli Wallach,             ","
Lee Van Cleef ","
Luciano Vincenzoni (story),             ","
Sergio Leone (story)            "
17,,,,,,,,,"
                    An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more...
            ",David Fincher,"
Brad Pitt,             ","
Edward Norton,             ","
Meat Loaf ","
Chuck Palahniuk (novel),             ","
Jim Uhls (screenplay)            "
18,297 critic,"19 December 2001 (USA)

",Action,Adventure,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0120737,"
                        2h 58min
                    ","5,057 user",,,,,,,
19,,,,,,,,,"
                    A meek Hobbit and eight companions set out on a journey to destroy the One Ring and the Dark Lord Sauron.
            ",Peter Jackson,"
Elijah Wood,             ","
Ian McKellen,             ","
Orlando Bloom ","
J.R.R. Tolkien (novel),             ","
Fran Walsh (screenplay)            "
20,223 critic,"20 June 1980 (USA)

",Action,Adventure,"[<meta content=""PG"" itemprop=""contentRating""/>]",tt0080684,"
                        2h 4min
                    ",896 user,,,,,,,
21,,,,,,,,,"
                    After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.
            ",Irvin Kershner,"
Mark Hamill,             ","
Harrison Ford,             ","
Carrie Fisher ","
Leigh Brackett (screenplay),             ","
Lawrence Kasdan (screenplay)            "
22,147 critic,"6 July 1994 (USA)

",Drama,Romance,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0109830,"
                        2h 22min
                    ","1,388 user",,,,,,,
23,,,,,,,,,"
                    Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.
            ",Robert Zemeckis,"
Tom Hanks,             ","
Robin Wright,             ","
Gary Sinise ","
Winston Groom (novel),             ","
Eric Roth (screenplay)            "
24,636 critic,"16 July 2010 (USA)

",Action,Adventure,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt1375666,"
                        2h 28min
                    ","2,799 user",,,,,,,
25,294 critic,"18 December 2002 (USA)

",Action,Adventure,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0167261,"
                        2h 59min
                    ","2,416 user",,,,,,,
26,,,,,,,,,"
                    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
            ",Peter Jackson,"
Elijah Wood,             ","
Ian McKellen,             ","
Viggo Mortensen ","
J.R.R. Tolkien (novel),             ","
Fran Walsh (screenplay)            "
27,,,,,,,,,"
                    A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
            ",Milos Forman,"
Jack Nicholson,             ","
Louise Fletcher,             ","
Michael Berryman ","
Lawrence Hauben (screenplay),             ","
Bo Goldman (screenplay)            "
28,192 critic,"21 September 1990 (USA)

",Biography,Crime,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0099685,"
                        2h 26min
                    ",985 user,,,,,,,
29,,,,,,,,,"
                    Henry Hill and his friends work their way up through the mob hierarchy.
            ",Martin Scorsese,"
Robert De Niro,             ","
Ray Liotta,             ","
Joe Pesci ","
Nicholas Pileggi (book),             ","
Nicholas Pileggi (screenplay)            "
30,310 critic,"31 March 1999 (USA)

",Action,Sci-Fi,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0133093,"
                        2h 16min
                    ","3,643 user",,,,,,,
31,,,,,,,,,"
                    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
            ",Lana Wachowski,"
Keanu Reeves,             ","
Laurence Fishburne,             ","
Carrie-Anne Moss ","
Lilly Wachowski (as The Wachowski Brothers),             ","
Lana Wachowski (as The Wachowski Brothers)            "
32,153 critic,"19 November 1956 (USA)

",Action,Adventure,"[<meta content=""UNRATED"" itemprop=""contentRating""/>]",tt0047478,"
                        3h 27min
                    ",596 user,,,,,,,
33,,,,,,,,,"
                    A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
            ",Akira Kurosawa,"
Toshirô Mifune,             ","
Takashi Shimura,             ","
Keiko Tsushima ","
Akira Kurosawa (screenplay),             ","
Shinobu Hashimoto (screenplay)            "
34,282 critic,"25 May 1977 (USA)

",Action,Adventure,"[<meta content=""PG"" itemprop=""contentRating""/>]",tt0076759,"
                        2h 1min
                    ","1,467 user",,,,,,,
35,214 critic,"13 February 2004 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0317248,"
                        2h 10min
                    ",746 user,,,,,,,
36,,,,,,,,,"
                    Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.
            ",Fernando Meirelles,"
Alexandre Rodrigues,             ","
Matheus Nachtergaele,             ","
Leandro Firmino ","
Paulo Lins (novel),             ","
Bráulio Mantovani (screenplay)            "
37,213 critic,"22 September 1995 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0114369,"
                        2h 7min
                    ","1,083 user",,,,,,,
38,185 critic,"14 February 1991 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0102926,"
                        1h 58min
                    ",915 user,,,,,,,
39,,,,,,,,,"
                    A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.
            ",Jonathan Demme,"
Jodie Foster,             ","
Anthony Hopkins,             ","
Lawrence A. Bonney ","
Thomas Harris (novel),             ","
Ted Tally (screenplay)            "
40,206 critic,"7 January 1947 (USA)

",Drama,Family,"[<meta content=""PG"" itemprop=""contentRating""/>]",tt0038650,"
                        2h 10min
                    ",704 user,,,,,,,
41,,,,,,,,,"
                    An angel helps a compassionate but despairingly frustrated businessman by showing what life would have been like if he never existed.
            ",Frank Capra,"
James Stewart,             ","
Donna Reed,             ","
Lionel Barrymore ","
Frances Goodrich (screenplay),             ","
Albert Hackett (screenplay)            "
42,162 critic,"15 September 1995 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0114814,"
                        1h 46min
                    ","1,179 user",,,,,,,
43,154 critic,"12 February 1999 (USA)

",Comedy,Drama,"[<meta content=""PG-13"" itemprop=""contentRating""/>]",tt0118799,"
                        1h 56min
                    ","1,050 user",,,,,,,
44,,,,,,,,,"
                    When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.
            ",Roberto Benigni,"
Roberto Benigni,             ","
Nicoletta Braschi,             ","
Giorgio Cantarini ","
Vincenzo Cerami (story and screenplay by),             ","
Roberto Benigni (story and screenplay by)            "
45,155 critic,"18 November 1994 (USA)

",Crime,Drama,"[<meta content=""R"" itemprop=""contentRating""/>]",tt0110413,"
                        1h 50min
                    ",838 user,,,,,,,
46,,,,,,,,,"
                    Epic story of a mysterious stranger with a harmonica who joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
            ",Sergio Leone,"
Henry Fonda,             ","
Charles Bronson,             ","
Claudia Cardinale ","
Sergio Donati (screenplay),             ","
Sergio Leone (screenplay)            "
47,245 critic,"28 March 2003 (USA)

",Animation,Adventure,"[<meta content=""PG"" itemprop=""contentRating""/>]",tt0245429,"
                        2h 5min
                    ",900 user,,,,,,,
