,airport,year,PC1,PC2,cluster,avg_gate_delay_dep,cancel_dep
0,ABQ,2004,2.65561107556,-0.336453320687,1,10.38,242.0
1,ABQ,2005,3.05587174245,-0.680010257646,1,9.6,221.0
2,ABQ,2006,2.44738445545,-0.091313556412,1,10.84,392.0
3,ABQ,2007,2.01836516744,0.0827742236034,1,11.29,366.0
4,ABQ,2008,2.60346591505,-0.305683045227,1,10.79,333.0
5,ABQ,2009,3.7047763571,-1.22877681254,1,9.24,192.0
6,ABQ,2010,3.28071300719,-0.689985715135,1,10.25,222.0
7,ABQ,2011,2.98846116143,-0.478501029192,1,10.81,345.0
8,ABQ,2012,3.37433201727,-0.85683899011,1,10.55,237.0
9,ABQ,2013,2.18614082208,0.798162678983,1,12.56,232.0
10,ABQ,2014,1.55899501118,1.6578064992,1,14.3,315.0
11,ANC,2004,-1.88713851933,4.80869938464,1,21.45,473.0
12,ANC,2005,-0.840754985416,3.02076284712,1,18.36,424.0
13,ANC,2006,-0.306457568267,2.07177383121,1,15.56,367.0
14,ANC,2007,-0.382775471036,2.11556101895,1,15.69,359.0
15,ANC,2008,0.321892800615,1.05788774735,1,13.45,268.0
16,ANC,2009,1.32170363445,0.522058670927,1,15.1,354.0
17,ANC,2010,0.652429706448,1.67915927955,1,17.77,149.0
18,ANC,2011,1.68090608468,0.0809541424783,1,14.56,191.0
19,ANC,2012,2.96845390573,-1.36580854526,1,10.01,216.0
20,ANC,2013,3.22651855669,-1.66583654374,1,9.18,141.0
21,ANC,2014,2.44399249777,-0.851739194897,1,11.33,111.0
22,ATL,2004,-8.63507803506,-3.75013167814,0,13.59,7870.0
23,ATL,2005,-10.4229860786,-4.92563617541,0,15.5,13837.0
24,ATL,2006,-9.72369100378,-3.06382064557,0,16.2,6624.0
25,ATL,2007,-9.61706877073,-3.79048357902,0,16.77,6796.0
26,ATL,2008,-8.97618189963,-4.58615999595,0,13.86,5830.0
27,ATL,2009,-9.46605952309,-4.63320204161,0,13.2,5324.0
28,ATL,2010,-8.30655518382,-6.03198370534,0,12.82,8198.0
29,ATL,2011,-6.73452950378,-5.80854957816,0,12.2,6555.0
30,ATL,2012,-3.35145254818,-5.77545691099,0,9.84,2259.0
31,ATL,2013,-4.51017110774,-4.49014333422,0,12.28,2916.0
32,ATL,2014,-4.81495260108,-5.07256929379,0,11.99,5977.0
33,AUS,2004,1.86583473138,1.02729294842,1,12.05,477.0
34,AUS,2005,2.2600499533,-0.0890538709496,1,10.31,435.0
35,AUS,2006,1.51319496597,0.822650414134,1,12.29,440.0
36,AUS,2007,0.800958930579,0.926852923799,1,12.84,827.0
37,AUS,2008,1.58626857003,0.384726158413,1,11.77,732.0
38,AUS,2009,2.36047562247,-0.153973733674,1,10.91,298.0
39,AUS,2010,2.56710566668,-0.119748946802,1,10.98,356.0
40,AUS,2011,2.49283368127,-0.0891647709016,1,11.29,425.0
41,AUS,2012,2.45980089621,-0.225437246215,1,10.98,353.0
42,AUS,2013,1.25549851743,1.26451789118,1,13.25,390.0
43,AUS,2014,1.07076002616,1.45697289082,1,14.16,484.0
44,BDL,2004,1.37610284293,0.410631201529,1,10.26,426.0
45,BDL,2005,1.01318209461,0.723472511831,1,11.34,719.0
46,BDL,2006,0.903491123466,1.10268295783,1,12.09,561.0
47,BDL,2007,0.0757282679448,1.78922827657,1,13.64,757.0
48,BDL,2008,0.858586715865,0.965179552091,1,12.27,587.0
49,BDL,2009,2.10558502012,-0.0687870379711,1,10.26,347.0
50,BDL,2010,1.65961450758,0.440036493879,1,10.79,466.0
51,BDL,2011,1.51725509309,0.776738147958,1,12.24,614.0
52,BDL,2012,2.33050488216,0.38967325111,1,11.2,295.0
53,BDL,2013,1.423417315,1.37275120968,1,12.7,364.0
54,BDL,2014,1.53287329427,1.16524265739,1,12.64,467.0
55,BHM,2004,1.71548670056,1.38269979464,1,12.41,402.0
56,BHM,2005,1.59513351483,1.2935199309,1,12.01,419.0
57,BHM,2006,0.888569253292,2.28647268728,1,14.13,287.0
58,BHM,2007,0.686692453074,2.36754841385,1,14.55,459.0
59,BHM,2008,1.28557877186,1.74855418446,1,13.82,385.0
60,BHM,2009,1.55594155871,1.35485064095,1,13.02,249.0
61,BHM,2010,1.78958772701,1.15547961393,1,12.62,315.0
62,BHM,2011,2.27201135414,0.974637326484,1,12.37,266.0
63,BHM,2012,2.83730042586,0.51816801742,1,11.45,147.0
64,BHM,2013,1.42518588991,1.80502650521,1,13.62,203.0
65,BHM,2014,1.01095413294,2.5776390646,1,15.58,336.0
66,BNA,2004,1.31817208155,0.258112369354,1,11.37,752.0
67,BNA,2005,1.33527092515,0.236006068908,1,11.61,706.0
68,BNA,2006,0.601459692823,0.872974990623,1,13.18,739.0
69,BNA,2007,0.114503873095,1.4291724878,1,14.56,973.0
70,BNA,2008,0.725818248827,0.928390146937,1,13.75,791.0
71,BNA,2009,1.76619353988,0.0017868514465,1,12.05,573.0
72,BNA,2010,1.32864369104,0.243686073895,1,12.74,886.0
73,BNA,2011,1.73474185116,0.10204878906,1,12.51,795.0
74,BNA,2012,2.52680577093,-0.609644092455,1,11.02,579.0
75,BNA,2013,0.926185394251,0.824074698191,1,13.91,870.0
76,BNA,2014,0.235218822451,1.56736284149,1,15.44,1266.0
77,BOS,2004,-2.19614706851,-1.34402371926,0,11.35,3332.0
78,BOS,2005,-3.75327860268,-0.0995227869931,0,14.0,4199.0
79,BOS,2006,-3.55034192377,0.197951537454,0,14.18,3359.0
80,BOS,2007,-4.58843075014,0.761762290717,0,15.82,4379.0
81,BOS,2008,-3.38674847577,-0.0486221573661,0,14.03,3655.0
82,BOS,2009,-1.7229181118,-0.96424998574,0,11.52,2891.0
83,BOS,2010,-1.90846344614,-0.805554514628,0,11.7,3071.0
84,BOS,2011,-2.74248661595,-0.322392042117,0,13.38,3621.0
85,BOS,2012,-0.259037604,-1.25626538728,1,11.56,1498.0
86,BOS,2013,-1.35525783455,-0.612208817619,1,12.81,1640.0
87,BOS,2014,-1.22228355381,-1.0936018206,1,11.73,2316.0
88,BUF,2004,1.13131177736,1.98090433252,1,12.94,514.0
89,BUF,2005,0.321981895814,2.39562678776,1,14.94,456.0
90,BUF,2006,0.0271823936268,2.4795362349,1,15.26,559.0
91,BUF,2007,-0.895156858231,3.67318648237,1,17.39,689.0
92,BUF,2008,-0.0409823729185,2.49656697491,1,16.06,611.0
93,BUF,2009,1.00929238212,1.39539102987,1,13.9,344.0
94,BUF,2010,0.918355076348,1.54198617831,1,13.93,483.0
95,BUF,2011,1.08268653315,1.89107410143,1,15.14,387.0
96,BUF,2012,1.91349013301,1.06755918847,1,13.48,330.0
97,BUF,2013,0.892409946305,1.87044611935,1,14.56,422.0
98,BUF,2014,0.964691624165,2.23733976343,1,15.53,612.0
99,BUR,2004,2.54694230402,0.225643811472,1,11.33,263.0
100,BUR,2005,1.91555399248,0.547719418261,1,11.33,285.0
101,BUR,2006,1.89032707824,0.115869802849,1,11.4,427.0
102,BUR,2007,1.7292924341,-0.0337699206967,1,11.79,517.0
103,BUR,2008,2.63670602864,-0.491404672324,1,10.78,535.0
104,BUR,2009,3.9756287433,-1.74816483884,1,8.3,412.0
105,BUR,2010,3.33279624533,-0.876533337642,1,9.99,465.0
106,BUR,2011,3.35883224652,-0.811451903526,1,9.6,493.0
107,BUR,2012,4.02341190505,-1.42607043947,1,8.88,488.0
108,BUR,2013,3.62897737296,-0.565855414328,1,10.2,399.0
109,BUR,2014,2.90448877767,0.298551752031,1,11.3,427.0
110,BWI,2004,0.235911914238,-0.234711246434,1,11.53,1186.0
111,BWI,2005,-0.00300132616541,0.0983893582436,1,12.58,1407.0
112,BWI,2006,-0.0201141546299,0.436062522869,1,13.35,1127.0
113,BWI,2007,-0.934251114502,0.939431888127,1,14.67,1759.0
114,BWI,2008,0.294056092745,0.0901506829736,1,13.24,1002.0
115,BWI,2009,0.467294065948,-0.651667413855,1,12.09,1042.0
116,BWI,2010,-0.347955753913,-0.412392464724,1,13.1,2282.0
117,BWI,2011,-0.0626808443457,-0.369001905118,1,13.55,1567.0
118,BWI,2012,0.0818199170624,-0.469470676204,1,13.02,1511.0
119,BWI,2013,-0.617454954201,0.819939328226,1,15.23,954.0
120,BWI,2014,-1.19783459934,1.16106167802,1,16.1,1588.0
121,CLE,2004,-0.33928206686,-1.14835800375,1,9.31,1438.0
122,CLE,2005,-0.36737758873,-0.800007109308,1,10.15,1207.0
123,CLE,2006,0.396216798536,-0.789330672893,1,10.34,1116.0
124,CLE,2007,-1.14458964566,0.463940988121,1,12.89,1427.0
125,CLE,2008,0.0609117330854,-0.159453989707,1,12.53,1359.0
